Date,Tournament,Court Type,Player1,Player1_Rank,Player1_RankingPoints,Player2,Player2_Rank,Player2_RankingPoints,Best of Sets,ScoreProgression_Games,ScoreProgression_Sets,Player1_Aces,Player1_BreakpointsWon,Player1_DoubleFaults,Player1_FirstServePointsWon,Player1_FirstServeSuccessful,Player1_MaxPointsInARow,Player1_PointsWon,Player1_SecondServePointsWon,Player1_SecondServeSuccessful,Player1_ServiceGamesWon,Player1_ServicePointsLost,Player1_ServicePointsWon,Player1_TiebreaksWon,Player1_TotalBreakpoints,Player1_GamesWon,Player1_MaxGamesInARow,Player2_Aces,Player2_BreakpointsWon,Player2_DoubleFaults,Player2_FirstServePointsWon,Player2_FirstServeSuccessful,Player2_MaxPointsInARow,Player2_PointsWon,Player2_SecondServePointsWon,Player2_SecondServeSuccessful,Player2_ServiceGamesWon,Player2_ServicePointsLost,Player2_ServicePointsWon,Player2_TiebreaksWon,Player2_TotalBreakpoints,Player2_GamesWon,Player2_MaxGamesInARow,matchID,Winner,totalGamesPerSet,Player1_Glicko2Rating,Player2_Glicko2Rating,Player1_Glicko2RD,Player2_Glicko2RD,Player1_Glicko2Vol,Player2_Glicko2Vol,RatingCalculated
2024-05-16,Rome,red-clay,"Hurkacz, Hubert",9,3730,"Paul, Tommy",16,2300,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [2, 3], [2, 4], [3, 4], [3, 5], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [1, 2], [2, 2], [3, 2], [3, 3], [4, 3], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [2, 2], [3, 2], [3, 3], [3, 4], [3, 5], [3, 6]]]","[[0, 1], [1, 1], [1, 2]]",8,6,1,32,52,8,103,18,44,8,47,50,0,18,14,5,3,7,5,44,81,7,111,20,31,9,53,64,0,13,16,4,Player1Rank_9_Player2Rank_16_Date_2024-05-16,Player2,10.0,2323.624503243639,2438.412086880632,146.24001317980424,162.37609604491266,1.0,1.0,True
2024-05-16,Rome,red-clay,"Tsitsipas, Stefanos",8,3860,"Jarry, Nicolas",24,1675,3,"[[[1, 0], [1, 1], [2, 1], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [5, 7]], [[0, 1], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [4, 6]]]","[[1, 0], [1, 1], [1, 2]]",5,2,7,51,71,7,101,15,25,13,37,66,0,13,15,3,8,3,2,47,68,8,105,21,33,13,35,68,0,9,16,3,Player1Rank_8_Player2Rank_24_Date_2024-05-16,Player2,10.333333333333334,2297.5856961474647,2426.472195882112,159.64929990986113,159.99140993755248,1.0,1.0,True
2024-05-15,Rome,red-clay,"Tabilo, Alejandro",32,1320,"Zhang, Zhizhen",56,868,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]], [[1, 0], [2, 0], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[1, 0], [2, 0]]",7,2,3,33,40,6,67,11,21,10,20,44,0,5,12,3,4,0,2,24,30,4,57,13,28,7,23,37,0,2,7,1,Player1Rank_32_Player2Rank_56_Date_2024-05-15,Player1,9.5,2426.4529518341487,2346.086198472463,160.67992658803928,148.4348220480144,1.0,1.0,True
2024-05-15,Rome,red-clay,"Zverev, Alexander",5,5435,"Fritz, Taylor",13,2870,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [4, 3], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",6,3,1,29,37,6,57,7,10,9,12,36,0,5,12,4,1,0,0,25,34,5,46,9,21,7,21,34,0,0,7,1,Player1Rank_5_Player2Rank_13_Date_2024-05-15,Player1,9.5,2411.878052458411,2257.885621861107,154.36102151391742,133.68500265839762,1.0,1.0,True
2024-05-14,Rome,red-clay,"Tabilo, Alejandro",32,1320,"Khachanov, Karen",18,2000,3,"[[[1, 0], [1, 1], [2, 1], [2, 2], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]]]","[[1, 0], [2, 0]]",8,2,1,36,47,6,92,17,33,10,28,53,2,8,14,3,7,2,2,40,58,6,86,18,37,10,39,58,0,2,12,3,Player1Rank_32_Player2Rank_18_Date_2024-05-14,Player1,13.0,2426.4529518341487,2341.9621228983333,160.67992658803928,186.84627035236275,1.0,1.0,True
2024-05-14,Rome,red-clay,"Fritz, Taylor",13,2870,"Dimitrov, Grigor",10,3605,3,"[[[0, 1], [1, 1], [2, 1], [3, 1], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [6, 7]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [5, 1], [6, 1]]]","[[1, 0], [1, 1], [2, 1]]",13,4,1,50,66,7,113,25,37,14,29,75,0,16,18,3,1,0,11,33,46,6,87,25,39,9,38,58,1,11,10,1,Player1Rank_13_Player2Rank_10_Date_2024-05-14,Player1,9.333333333333334,2257.885621861107,2340.5568191919765,133.68500265839762,190.69940403715924,1.0,1.0,True
2024-05-14,Rome,red-clay,"Zhang, Zhizhen",56,868,"Thiago, Monteiro",106,590,3,"[[[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [5, 6], [6, 6], [7, 6]], [[1, 0], [1, 1], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",10,1,2,28,34,6,75,26,41,11,23,54,1,5,13,3,6,0,3,27,38,6,68,18,25,9,21,45,0,4,9,1,Player1Rank_56_Player2Rank_106_Date_2024-05-14,Player1,11.0,2346.086198472463,2384.235718455518,148.4348220480144,174.1668050865774,1.0,1.0,True
2024-05-14,Rome,red-clay,"Zverev, Alexander",5,5435,"Borges, Nuno",53,931,3,"[[[1, 0], [2, 0], [2, 1], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2]], [[0, 1], [1, 1], [1, 2], [2, 2], [2, 3], [3, 3], [3, 4], [4, 4], [4, 5], [5, 5], [6, 5], [7, 5]]]","[[1, 0], [2, 0]]",9,4,3,31,38,6,65,8,13,9,15,39,0,5,13,4,2,1,1,24,37,4,47,8,20,6,26,32,0,2,7,2,Player1Rank_5_Player2Rank_53_Date_2024-05-14,Player1,10.0,2411.878052458411,2407.2001101035294,154.36102151391742,168.75047575791635,1.0,1.0,True
2024-05-14,Rome,red-clay,"Jarry, Nicolas",24,1675,"Muller, Alexandre",109,577,3,"[[[1, 0], [1, 1], [1, 2], [2, 2], [3, 2], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [7, 5]], [[1, 0], [2, 0], [3, 0], [3, 1], [4, 1], [4, 2], [5, 2], [5, 3], [6, 3]]]","[[1, 0], [2, 0]]",15,3,1,33,41,7,75,10,18,10,17,43,0,9,13,5,3,1,2,27,46,6,59,15,26,7,32,42,0,3,8,2,Player1Rank_24_Player2Rank_109_Date_2024-05-14,Player1,10.5,2426.472195882112,2463.0016717116296,159.99140993755248,155.15190298644333,1.0,1.0,True
2024-05-14,Rome,red-clay,"Hurkacz, Hubert",9,3730,"Baez, Sebastian",19,1960,3,"[[[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [2, 4], [3, 4], [4, 4], [5, 4], [5, 5], [5, 6], [5, 7]], [[0, 1], [0, 2], [1, 2], [1, 3], [2, 3], [3, 3], [4, 3], [4, 4], [5, 4], [5, 5], [6, 5], [6, 6], [7, 6]], [[0, 1], [1, 1], [1, 2], [2, 2], [3, 2], [4, 2], [4, 3], [5, 3], [5, 4], [6, 4]]]","[[0, 1], [1, 1], [2, 1]]",17,3,2,49,58,7,108,18,42,14,35,67,1,4,18,3,1,3,3,49,78,8,103,19,28,14,41,68,0,6,17,5,Player1Rank_9_Player2Rank_19_Date_2024-05-14,Player1,11.666666666666666,2323.624503243639,2395.124794001163,146.24001317980424,175.0530465261241,1.0,1.0,True
